year,` 1,` 2,` 5,` 10,` 20,` 50,` 100,` 200,` 500,` 1000,` 2000
1977-78,0.96,1.48,5.72,18.25,6.9,9.95,43.02,0.0,0.0,0.55,0.0
1978-79,1.1,1.74,5.76,19.57,7.79,14.4,53.69,0.0,0.0,0.0,0.0
1979-80,1.26,2.15,5.88,21.23,9.61,19.83,59.51,0.0,0.0,0.0,0.0
1980-81,1.41,2.99,6.34,20.97,10.9,22.06,74.06,0.0,0.0,0.0,0.0
1981-82,1.54,3.92,6.92,19.91,12.14,27.24,78.29,0.0,0.0,0.0,0.0
1982-83,1.72,4.31,8.07,17.98,14.33,30.17,97.77,0.0,0.0,0.0,0.0
1983-84,3.03,4.5,5.6,17.7,14.63,36.26,116.9,0.0,0.0,0.0,0.0
1984-85,2.37,5.8,12.34,22.17,16.36,39.2,139.04,0.0,0.0,0.0,0.0
1985-86,3.08,6.5,13.03,25.36,17.84,43.1,150.18,0.0,0.0,0.0,0.0
1986-87,4.23,6.83,12.87,25.1,18.99,52.47,171.16,0.0,0.0,0.0,0.0
1987-88,5.01,6.53,14.29,28.25,23.31,72.67,190.77,0.0,1.8,0.0,0.0
1988-89,5.47,6.81,14.82,29.96,26.13,94.59,212.08,0.0,2.3,0.0,0.0
1989-90,5.83,8.04,17.39,35.15,31.0,125.53,237.78,0.0,12.57,0.0,0.0
1990-91,6.16,8.83,18.1,37.85,29.52,148.12,245.7,0.0,21.77,0.0,0.0
1991-92,0.0,9.42,24.0,52.02,27.43,177.19,322.66,0.0,18.54,0.0,0.0
1992-93,0.0,7.2,20.22,42.85,23.4,225.77,326.63,0.0,49.1,0.0,0.0
1993-94,7.05,6.24,18.6,53.34,16.31,249.91,377.84,0.0,113.03,0.0,0.0
1994-95,7.95,6.02,17.65,69.43,11.2,285.37,464.57,0.0,168.82,0.0,0.0
1995-96,8.48,5.15,16.51,92.18,7.18,316.59,551.05,0.0,208.73,0.0,0.0
1996-97,9.0,5.27,15.54,110.63,7.03,336.23,626.0,0.0,242.7,0.0,0.0
1997-98,9.69,5.5,14.27,124.12,9.79,342.45,701.59,0.0,279.75,0.0,0.0
1998-99,10.76,5.3,12.9,129.9,8.99,333.16,781.97,0.0,448.27,0.0,0.0
1999-00,12.6,5.12,11.52,132.82,10.1,332.3,858.31,0.0,572.5,0.0,0.0
2000-01,13.93,4.71,10.16,123.36,10.12,328.18,1081.41,0.0,529.47,37.19,0.0
2001-02,15.47,5.38,12.64,119.89,15.31,356.01,1180.41,0.0,685.12,71.79,0.0
2002-03,16.92,4.83,17.39,90.88,34.25,351.91,1153.86,0.0,938.13,159.71,0.0
2003-04,17.57,4.72,22.76,77.5,43.83,330.27,1214.42,0.0,1229.38,274.73,0.0
2004-05,17.9,4.62,20.86,67.7,38.76,299.41,1232.82,0.0,1527.28,420.82,0.0
2005-06,18.94,4.51,19.8,62.74,40.77,278.42,1346.37,0.0,1823.32,643.46,0.0
2006-07,20.29,4.47,18.87,71.55,41.78,279.51,1354.44,0.0,2254.0,936.76,0.0
2007-08,22.14,6.36,21.11,93.33,41.08,265.08,1345.75,0.0,2631.08,1412.19,0.0
2008-09,23.96,6.65,22.71,122.22,43.99,244.4,1370.28,0.0,3083.04,1917.84,0.0
2009-10,26.47,6.98,22.33,185.36,46.81,210.57,1383.64,0.0,3644.79,2382.52,0.0
2010-11,29.68,8.51,34.3,212.88,60.4,159.8,1402.43,0.0,4453.11,3027.13,0.0
2011-12,31.42,8.51,36.43,230.02,70.2,174.38,1411.88,0.0,5128.07,3468.81,0.0
2012-13,32.89,8.51,36.87,251.68,76.5,173.05,1442.1,0.0,5359.5,4299.0,0.0
2013-14,38.42,8.51,37.14,266.48,85.69,172.42,1476.46,0.0,5702.48,5081.37,0.0
2014-15,38.63,8.54,37.02,303.04,86.99,174.36,1502.65,0.0,6563.91,5612.45,0.0
2015-16,41.78,8.53,36.8,320.15,98.47,194.5,1577.83,0.0,7853.75,6325.68,0.0
2016-17,45.14,8.53,36.45,369.29,203.15,355.64,2528.01,0.0,2940.98,89.25,6570.63
2017-18,49.63,8.53,35.8,306.45,200.32,367.15,2221.49,370.53,7734.29,66.1,6726.42
2018-19,46.73,8.53,35.19,312.6,174.25,430.07,2007.38,800.1,10758.81,0.0,6581.99
